id,name,year,month,day,type,enabled,plural,link,uuid,creation_ts,editing_ts
1,the Black Death,1348,,,history,1,0,https://en.wikipedia.org/wiki/Black_Death,505e02d6-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
2,the Krakatoa eruption,1883,,,science,1,0,https://en.wikipedia.org/wiki/1883_eruption_of_Krakatoa,505e05a5-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
3,the sack of Costantinople by the crusaders,1204,4,12,history,1,0,https://en.wikipedia.org/wiki/Sack_of_Constantinople_(1204),505e0603-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
4,the arrival of Columbus to America,1492,10,12,history,1,0,https://en.wikipedia.org/wiki/Voyages_of_Christopher_Columbus,505e0640-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
5,the Storming of the Bastille,1789,7,14,history,1,0,https://en.wikipedia.org/wiki/Storming_of_the_Bastille,505e0671-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
6,the Wright brothers' flight,1903,12,17,science,1,0,https://en.wikipedia.org/wiki/Wright_brothers,505e069f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-06-04 04:34:30
7,the launch of the Sputnik 1,1957,10,4,science,1,0,https://en.wikipedia.org/wiki/Sputnik_1,505e06d1-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
8,"the release of ""Sgt. Pepper"" by the Beatles",1967,6,1,music,1,0,https://en.wikipedia.org/wiki/Sgt._Pepper%27s_Lonely_Hearts_Club_Band,505e0701-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
9,"the release of ""Nevermind"" by Nirvana",1991,9,24,music,1,0,https://en.wikipedia.org/wiki/Nevermind,505e07d2-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
10,"""Citizen Kane"" by Orson Welles",1941,,,film,1,0,https://en.wikipedia.org/wiki/Citizen_Kane,505e0812-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
11,"""Star Wars"" by George Lucas",1977,,,film,1,0,https://en.wikipedia.org/wiki/Star_Wars_(film),505e0843-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
12,the first cinema screening by the Lumières,1895,12,26,film,1,0,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re,505e0878-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
13,the assassination of John F. Kennedy,1963,11,22,history,1,0,https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy,505e0a26-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
14,the assassination of Archduke Franz Ferdinand,1914,6,28,history,1,0,https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand_of_Austria,505e0a5a-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
15,"the release of ""Super Mario Bros.""",1985,,,computer,1,0,https://en.wikipedia.org/wiki/Super_Mario_Bros.,505e0a8a-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
16,"the release of ""The Sims""",2000,,,computer,1,0,https://en.wikipedia.org/wiki/The_Sims,505e0ab8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
17,the 9/11 attacks,2001,9,11,history,1,1,https://en.wikipedia.org/wiki/9/11,505e0b1c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
